Epoch,Train Timestamp,Train Loss,Train Acc,Validation Timestamp,Validation Loss,Val Acc,Precision,Recall,F1
1,"2025-02-28 12:59:10,755",3.8749,0.0312,"2025-02-28 13:00:06,794",3.7720,0.0276,0.0006,0.0222,0.0013
2,"2025-02-28 13:03:58,180",3.7488,0.0451,"2025-02-28 13:04:56,335",3.7303,0.0414,0.0039,0.0252,0.0062
3,"2025-02-28 13:08:48,206",3.6699,0.0642,"2025-02-28 13:09:49,198",3.7110,0.0483,0.0053,0.0348,0.0091
4,"2025-02-28 13:13:56,380",3.6477,0.0503,"2025-02-28 13:14:53,792",3.6797,0.0621,0.0067,0.0407,0.0114
5,"2025-02-28 13:58:36,950",3.6023,0.0573,"2025-02-28 14:00:26,467",3.7383,0.0690,0.0109,0.0433,0.0168
6,"2025-02-28 14:07:11,144",3.5602,0.0781,"2025-02-28 14:08:58,813",3.7277,0.0690,0.0130,0.0360,0.0143
7,"2025-02-28 14:16:15,065",3.5197,0.0677,"2025-02-28 14:17:47,948",3.7650,0.0621,0.0150,0.0389,0.0169
8,"2025-02-28 14:24:43,258",3.4663,0.0990,"2025-02-28 14:26:36,516",3.7238,0.0621,0.0270,0.0367,0.0248
9,"2025-02-28 14:34:09,939",3.3949,0.1111,"2025-02-28 14:36:09,537",3.7685,0.0897,0.0243,0.0547,0.0327
10,"2025-02-28 14:43:26,650",3.3047,0.1406,"2025-02-28 14:45:25,651",3.7638,0.0759,0.0285,0.0489,0.0328
11,"2025-02-28 14:52:31,743",3.2204,0.1476,"2025-02-28 14:54:14,194",3.8609,0.0897,0.0252,0.0689,0.0352
12,"2025-02-28 15:01:08,918",3.1194,0.1858,"2025-02-28 15:02:54,184",3.8554,0.1034,0.0304,0.0676,0.0409
13,"2025-02-28 15:08:53,367",2.9834,0.1944,"2025-02-28 15:10:11,888",3.9846,0.0690,0.0279,0.0459,0.0328
14,"2025-02-28 15:14:24,438",2.8507,0.2309,"2025-02-28 15:15:23,326",3.8957,0.1034,0.0345,0.0785,0.0462
15,"2025-02-28 15:21:24,553",2.7150,0.2604,"2025-02-28 15:23:04,959",3.9842,0.0621,0.0262,0.0433,0.0306
16,"2025-02-28 15:29:30,553",2.4924,0.3385,"2025-02-28 15:31:12,698",3.9801,0.0759,0.0434,0.0478,0.0422
17,"2025-02-28 15:52:44,529",2.3426,0.3854,"2025-02-28 15:54:22,823",4.0153,0.0828,0.0327,0.0596,0.0379
18,"2025-02-28 16:00:54,150",2.0807,0.4878,"2025-02-28 16:02:25,565",4.1099,0.0759,0.0330,0.0544,0.0400
19,"2025-02-28 16:08:37,615",1.8798,0.5122,"2025-02-28 16:10:19,576",4.2482,0.0621,0.0324,0.0407,0.0309
20,"2025-02-28 16:16:25,175",1.6454,0.5868,"2025-02-28 16:17:16,587",4.3408,0.0483,0.0119,0.0311,0.0169
21,"2025-02-28 16:27:40,879",1.4450,0.6649,"2025-02-28 16:28:31,481",4.4689,0.0552,0.0280,0.0385,0.0305
22,"2025-02-28 16:31:50,175",1.1898,0.7274,"2025-02-28 16:32:39,907",4.4294,0.0690,0.0397,0.0491,0.0422
23,"2025-02-28 16:36:00,308",1.0451,0.7743,"2025-02-28 16:36:50,091",4.5447,0.0552,0.0334,0.0415,0.0352
24,"2025-02-28 16:40:12,569",0.7999,0.8177,"2025-02-28 16:41:02,120",4.6491,0.0759,0.0410,0.0552,0.0445
25,"2025-02-28 16:44:21,516",0.6965,0.8611,"2025-02-28 16:45:34,778",4.7253,0.0828,0.0620,0.0656,0.0586